L	剧情很一般，整部片子舒淇演的最好，鹿晗演技真的太一般了。
H	都说这部电影不好看，差点被带偏了。这部电影整体还是非常不错的。至于为什么有那么多人差评，肯定有幕后黑手推动。
L	标准的烂片，粉丝快去刷票房啊，别把自己恶心到就行
L	烂片烂片。和流浪地球没法比。
H	其实也没那么差。特效还是可以的。
H	很好看！！！
L	浪费时间浪费钱
H	今天去看了上海堡垒其实也没有网上说的那么差，剧情是欠缺了但也是有可圈可点的地方，特效方面还是很棒的，当上海大炮出来的时候真的被震惊到了，演员的演技也很自然，在灰鹰小队的成员一个个牺牲的时候没有被感动到可能是我的泪点高吧！但到了后面彩蛋林澜保存的郁金香出现时真的打动到我了，原来林澜也喜欢江洋。反正我觉得电影还是可以的。看别人的影评虽直观，但感受是别人的，好不好看还是自己看过才知道。
L	为什么不能给0分？侮辱我的智商吗
M	江南 无论你用哪个演员拍这部戏
L	去**上海堡垒，不如叫机甲旋风战士吧，毁三观，无语了，江南这个二狗子变了，你也不缺钱啊，为了钱蒙蔽双眼？
H	特效很棒，中国电影真的可以做大片！！！
H	挺感人，鹿晗好帅我好爱
L	鹿哥哥的演技太好了，好的我都泪流满面了，我哭了，从没见过演技那么好的鹿哥哥
L	故事情节不是很合理，效果也很一般
L	烂。。。。。。
H	外星人的设计，母舰都很代入感，尤其是上海大炮，帅！开炮的瞬间更帅！不过名字贼土了，高以翔也挺帅。而第二次开炮后，捕食者掩护母舰被炸的支离破碎时，整个上海原地震三震的感觉啊！3D真的要吓死了，往日所熟悉的娱乐金光闪闪的场所都成了生灵涂炭一片。那种世界末日的感觉瞬间压抑在了心头。第三次开炮，就是击退了航空母舰，江洋驾驶着无人机冲向母舰，那一幕我真的很感动。
L	1分不能再多了
H	很棒 ！！ 哥哥继续加油 ！
M	不要报以太大的期望，是肯定没有《流浪地球》nb的，里面那个指挥官还有那个开炮的英语真的说得很烂很中式[捂脸]，剧情都很直接，没有伏笔，相较于往年的国产科幻烂片已经很不错了-_-，人物之间的剧情感觉很老套，打斗得场景就是硬上，第一次开的炮使期望后面有更nb的场景，但是直到结束都达不到期望中的特效场景，中规中矩，欢迎大家在评论里和我抬杠[晕]
L	什么鬼东西呢
L	果然小鲜肉演的电影都是烂片
H	我觉得很好呀这部电影，特效可以说是非常震撼了，剧情也还说的过去，不知道为什么评分会这么低
L	特效值得肯定，但是剧情以及感情渲染失误太大，作为原著党勉强可以理解剧情，但是作为普通观影者估计是稀里糊涂，最后上海已经陆沉了，还可以重建，我感觉有点逻辑不通……
L	不好看，不是科幻片
M	特效制作强大还是很用心的，演员演技也好 就是故事情节不刺激！我们同学八个人有四个人看着看着都睡了！有点失望……
L	我好想笑，鹿宝宝呀  ***我要吐了
L	这片完全没法看，辣鸡到爆，特效差的无语，别去浪费钱了
H	不知道你们在那里吹什么吹，天天骂骂骂，不好看可以不看啊！谁逼你啦！天天说，有本事你去演啊，你看过花序吗？知道人家的努力吗？导演都说演员适合，你就觉得不适合了，你去当导演啊！这样你就可以随便选演员了，可惜你没本事啊！拍科幻片本来就不是那么简单，都说了稍不注意就会拍的不好，你们说拍的不好，那怎么电影院还是买了版权？再说了，花你几十块钱买张电影票不行吗？又不是用了你就没饭吃，没地儿住！回归到本质就是：当今社会凭实力说话，没实力在那里叭叭什么叭叭！你是雀儿还是什么？你是神啊，还是他（她）爹娘，去评定一个人！你知道别人是怎么努力的吗？不知道就别乱说！知道你又体验过吗？体验过你又成功过，让别人都知道你吗？
H	还不错，特效比预想的要好很多
M	特效数一数二  槽点太多 剧情很多不合理  细节处理不行 演员配音恶心廉价 很多逻辑问题
H	特效做的好棒啊！太震撼了！上海陆沉那里！捕食者比我想象中的好看，AV28好酷啊！灰鹰小队几个演的都不错，看他们指挥无人机那里好酷，最后林澜的盒子装的是江洋送的花那里我哭了，无望的爱，林澜知道江洋喜欢她，我觉得林澜也有点喜欢江洋的。后面的彩蛋很精彩！中国科幻加油！上海堡垒加油！值得去影院一看！
H	看完了，没有那些人说的那么差，特效也可以，不是完美的片子，但是也不是烂片，不是鹿晗的粉丝，鹿晗在这里演技有进步，并没有拖后提什么的。
M	只能说一般 槽点有点多
L	电视剧导演出身驾驶不了大电影，男女主演技就不评价了。不值得浪费时间。
H	今天上海台风红色警戒，顶风冒雨去电影院看《上海堡垒》。一来想看小说的还原度，二来影片未播先热，媒体吵得褒贬不一，三来好奇上海在巨大灾难面前会如何？
